Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Gift Card,Status
aaos-assessment-free,AAOS Assessment (Free),"<p>Evaluate your organization's AI readiness using the AI-Augmented Operating System (AAOS). Identify gaps across workflows, governance, and execution.</p>",Paidar.ai,Lead Magnet,"aaos,tier0,free,assessment",TRUE,Title,Default Title,AAT-FREE-ASSESS,0,,,continue,manual,0.00,,FALSE,FALSE,FALSE,active
aaos-decision-packet-lite,Decision Packet Template (Free),"<p>Start structuring your AI outputs with a lightweight Decision Packet template. Improve clarity, traceability, and accountability immediately.</p>",Paidar.ai,Lead Magnet,"aaos,tier0,free,template",TRUE,Title,Default Title,AAT-FREE-DP,0,,,continue,manual,0.00,,FALSE,FALSE,FALSE,active
aaos-90-day-roadmap,90-Day AI Execution Roadmap (Free),"<p>A practical roadmap to move from AI experimentation to structured execution in 90 days using the AAOS model.</p>",Paidar.ai,Lead Magnet,"aaos,tier0,free,roadmap",TRUE,Title,Default Title,AAT-FREE-ROADMAP,0,,,continue,manual,0.00,,FALSE,FALSE,FALSE,active
aaos-prompt-library,AAOS Prompt Library,"<p>Reusable prompt structures designed for consistent, high-quality outputs across workflows. Stop guessing and start executing with precision.</p>",Paidar.ai,Digital Product,"aaos,tier1,digital,prompts",TRUE,Title,Default Title,AAT-PROMPTS,0,,,continue,manual,39.00,,FALSE,FALSE,FALSE,active
aaos-decision-packet-pro,Decision Packet Pro Pack,"<p>Advanced Decision Packet templates with validation layers, governance checkpoints, and executive-ready formatting.</p>",Paidar.ai,Digital Product,"aaos,tier1,digital,decision-packet",TRUE,Title,Default Title,AAT-DP-PRO,0,,,continue,manual,59.00,,FALSE,FALSE,FALSE,active
aaos-team-bundle-25,AAOS Team Bundle (25 Books + Toolkit),"<p>Scale your rollout across multiple teams. Includes 25 books and full team toolkit for aligned execution.</p>",Paidar.ai,Bundle,"aaos,tier2,bundle,team,scale",TRUE,Title,Default Title,AAT-BUNDLE-25,300,,,continue,manual,650.00,,TRUE,TRUE,FALSE,active
aaos-team-bundle-50,AAOS Team Bundle (50 Books + Toolkit),"<p>Enterprise-scale bundle for large teams and departments adopting AAOS.</p>",Paidar.ai,Bundle,"aaos,tier2,bundle,team,enterprise",TRUE,Title,Default Title,AAT-BUNDLE-50,300,,,continue,manual,1200.00,,TRUE,TRUE,FALSE,active
aaos-executive-brief,Executive AI Transformation Brief,"<p>A concise executive-level briefing on why AI deployments fail and how AAOS enables scalable success.</p>",Paidar.ai,Lead Magnet,"aaos,tier0,executive,free",TRUE,Title,Default Title,AAT-EXEC-BRIEF,0,,,continue,manual,0.00,,FALSE,FALSE,FALSE,active
aaos-workshop-full,AI-Augmented Teams Workshop (Full Payment),"<p>Full engagement for implementing AAOS across your team. Includes two half-day sessions and implementation roadmap.</p>",Paidar.ai,Service,"aaos,tier3,workshop,full",TRUE,Title,Default Title,AAT-WORKSHOP-FULL,0,,,continue,manual,15000.00,,FALSE,FALSE,FALSE,active
aaos-executive-workshop,AI-Augmented Executive Workshop,"<p>Executive-level workshop focused on strategy, governance, and AI adoption at scale using AAOS.</p>",Paidar.ai,Service,"aaos,tier3,workshop,executive",TRUE,Title,Default Title,AAT-WORKSHOP-EXEC,0,,,continue,manual,15000.00,,FALSE,FALSE,FALSE,active
aaos-followup-session,AAOS Follow-Up Session (1 Hour),"<p>Reinforce your AI transformation with targeted follow-up sessions focused on execution and accountability.</p>",Paidar.ai,Service,"aaos,tier3,consulting,followup",TRUE,Title,Default Title,AAT-FOLLOWUP,0,,,continue,manual,500.00,,FALSE,FALSE,FALSE,active
